janamdivas	जन्मदिवस
tisare	तीसरे
inqalabi	इंकलाबी
sarojini	सरोजिनी
patamadaa	पटमदा
vitarak	वितरक
khanevale	खानेवाले
sarlikrit	सरलीकृत
ubs	यूबीएस
dheron	ढेरों
pics	पिक्स
chamacha	चमचा
vishwanbhar	विश्वंभर
avranyaan	अवर्णनीय
samajhdar	समझदार
chihuaahuaa	चिहुआहुआ
cleanzing	क्लींजिंग
chhupaane	छुपाने
melmilaap	मेलमिलाप
safedposh	सफेदपोश
autobiography	ऑटोबायोग्राफी
spungy	स्पंजी
mandlakar	मंडलाकार
sakne	सकने
poojaasthalon	पूजास्थलों
khushalpur	खुशहालपुर
thahrate	ठहराते
padukayen	पादुकाएं
asthirataa	अस्थिरता
darta	डरता
kaptani	कप्तानी
gone	गौन
paristhitiyan	परिस्थितियां
chalti	चलतीं
blassed	ब्लेस्ड
peshevaron	पेशेवरों
udheddane	उधेड़ने
chivda	चिवड़ा
chalaynge	चलाएंगे
sakshamata	सक्षमता
niche	नीचे
bisawin	बीसवीं
devidevataaon	देवीदेवताओं
ratio	रेशों
mrate	मरते
pahchaante	पहचानते
chillar	छिल्लर
pasighat	पासीघाट
chakrata	चकराता
bhaktraj	भक्तराज
kadgam	कड़गम
janshyog	जनसहयोग
khulvaya	खुलवाया
salvten	सलवटें
kohre	कोहरे
manshapurna	मंशापूर्ण
mhadevan	महादेवन
sanchaalakon	संचालकों
praharon	प्रहारों
saiddhantik	सैद्धांतिक
aamane	आमने
shakespeare	शेक्सपियर
sammanneey	सम्माननीय
rakhkar	रखकर
chalaegi	चलाएगी
nritaki	नृतकी
felps	फेल्प्स
akriyasheel	अक्रियाशील
mansoobon	मंसूबों
yantriki	यांत्रिकी
ikea	आइकिया
mataron	मात्राओं
punarvivah	पुनर्विवाह
chidiyaghar	चिड़ियाघर
medellin	मेडेलिन
lootane	लूटने
clint	क्लिंट
adhikta	अधिकता
talchton	तलछटों
fite	फीते
dharmarnya	धर्मारण्य
polyester	पॉलिएस्टर
raktchaap	रक्तचाप
katarne	कतरनें
prayoktaon	प्रयोक्ताओं
nathooram	नाथूराम
ishu	इशू
visht	विष्ट
bhaktipurna	भक्तिपूर्ण
hinduon	हिंदुओं
knowles	नोल्स
samajseviyon	समाजसेवियों
upachunav	उपचुनाव
nikalenge	निकलेंगे
milaate	मिलाते
gwangdong	ग्वांगडोंग
vainkuvar	वैंकूवर
ravikant	रविकांत
sisai	सिसई
chandroday	चंद्रोदय
raatein	रातें
kalchuri	कल्चुरी
ismen	इसमेें
sensesion	सेंसेशन
gabangg	दबंग
maaraa	मारा
bhadakane	भड़काने
aishwarya	ऐश्वर्या
thele	ठेले
filter	फिल्टर
mashhuriyat	मशहूरियत
malkani	मलकानी
blockbuster	ब्लॉकबस्टर
mamooti	ममूटी
madhyavargo	मध्यवर्गों
trat	ट्रेंट
joy	जॉ
natraajan	नटराजन
teale	टीले
badale	बदले
kharidane	खरीदने
paramatm	परमात्म
ahmedpur	अहमदपुर
dhoondhane	ढूंढने
thekedaron	ठेकेदारों
davarchar	द्वारचार
manmutaav	मनमुटाव
sahachari	सहचारी
shrankhlabandh	श्रृंखलाबद्ध
grahkon	ग्राहकों
gathjod	गठजोड़
mingora	मिंगोरा
suleman	सुलेमान
mankikaran	मानकीकरण
praudyogikiy	प्रौद्योगिकीय
shahron	शहरों
preview	प्रीव्यू
uddhat	उद्धत
dhamkon	धमाकों
krishnraj	कृष्णराज
vidhayikaon	विधायिकाओं
paraabaigani	पराबैगनी
thamaa	थमा
tabadala	तबादला
panditon	पंडितों
sootrikaran	सूत्रीकरण
setubandhu	सेतुबंध
tatapani	तत्तापानी
soochnarthi	सूचनार्थी
sobhagyavash	सौभाग्यवश
rationcard	राशनकार्ड
adrata	आर्द्रता
daramiyani	दरमियानी
gaton	गेटों
vicharshil	विचारशील
rachne	रचने
dvipiy	द्वीपीय
taraguchchh	तारागुच्छ
sajishkartaon	साजिशकर्ताओं
anguron	अंगूरों
punstharpit	पुनर्स्थापित
anishchita	अनिश्चिता
chaturbhuj	चतुर्भुज
musibat	मुसीबत
chhilake	छिलके
pateraa	पटेरा
jhadna	झड़ना
golamaal	गोलमाल
hadpe	हड़पे
sareekhe	सरीखे
failaye	फैलाये
rushigan	ऋषिगण
dhakela	ढकेला
prussia	प्रशिया
mukteshwar	मुक्तेश्वर
aanewali	आनेवाली
vivadit	विवादित
anshakaalik	अंशकालिक
lateks	लेटेक्स
mujammil	मुजम्मिल
anichchhuk	अनिच्छुक
jagarani	जगरानी
vigyapandata	विज्ञापनदाता
durachar	दुराचार
viviling	वीविंग
jhopada	झोपड़ा
aavanazhi	आवाजाही
ghav	घाव
elliot	एलियट
jayaswal	जायसवाल
inhaler	इन्हेलर
anudeshon	अनुदेशों
varsaaye	वर्साय
chhathe	छठे
chunmun	चुनमुन
naukasan	नौकासन
huang	ह्यूग
bhavyata	भव्यता
sangmaheshwar	संगमहेश्वर
bhediya	भेड़िया
doodhnath	दूधनाथ
sthayitva	स्थायित्व
shaktipeethon	शक्तिपीठों
brahamanvad	ब्राह्मणवाद
yuvtiyan	युवतियां
grow	ग्रो
buddhon	बुद्धों
signeture	सिगनेचर
jhelane	झेलने
badahvas	बदहवास
jodkar	जोड़कर
jewel	ज्वैल
ghoshanpatr	घोषणापत्र
prajatantrik	प्रजातांत्रिक
tapiy	तापीय
bisavin	बीसवीं
alek	एलेक
aanton	आंतों
jakhar	जाखड़
yojnaon	योजनाओं
liaquat	लियाकत
sajavati	सजावटी
utani	उतनी
khelkar	खेलकर
inhone	इन्हाेंने
pandwani	पंडवानी
greyzia	ग्रेजिया
kenchuae	केंचुए
duetirium	ड्यूटीरियम
saunpe	सौंपे
dynamics	डायनेमिक्स
uddharanon	उद्धरणों
muskuraate	मुस्कुराते
joojhte	जूझते
leelaon	लीलाओं
laakey	लाके
mehandipur	मेंहदीपुर
doharayen	दोहराएं
andhakaar	अंधकार
khgoliya	खगोलीय
reetiriwaj	रीतिरिवाज
rocketon	रॉकेटों
sunkipan	सनकीपन
ghule	घुले
antvastra	अंतर्वस्त्र
eisenhower	आइजनहावर
yulia	यूलिया
improving	इंप्रूविंग
liwain	लिवाइन
paddhtiyon	पद्धतियों
ruthi	रूठी
altimatum	अल्टीमेटम
avasanrchana	अवसंरचना
prekshan	प्रेक्षण
naito	नैटो
syringe	सिरिंज
lahuluhaan	लहूलुहान
bhumadhysagar	भूमध्यसागर
rahatgadh	राहतगढ़
trent	ट्रेंट
saabut	साबुत
ultimatam	अल्टीमेटम
danave	दानवे
udati	उड़ती
kalandar	कलंदर
chhapni	छपनी
kabootaron	कबूतरों
patwar	पतवार
hyogo	ह्योगो
rihayi	रिहाई
mississauga	मिसिसॉगा
padadhikariyon	पदाधिकारियों
sahastr	सहस्त्र
shraman	श्रमण
bahumulya	बहुमूल्य
pankhudiyaan	पंखुड़ियों
shatabdiyon	शताब्दियों
nattu	नट्टू
adhyapkon	अध्यापकों
denaa	देना
pradhikari	प्राधिकारी
crossingo	क्रॉसिंगों
ritiriwaaz	रीतिरिवाज
gruhini	गृहिणी
bikhre	बिखरे
pronnati	प्रोन्नति
biden	बिडेन
prapautri	प्रपौत्री
chhedn	छेदन
vardhak	वर्धक
sheetkaal	शीतकाल
luka	लूका
rakat	रकात
butler	बटलर
parisiman	परिसीमन
chakuon	चाकूओं
awadhaarnao	अवधारणाओं
purnkalik	पूर्णकालिक
golaabaari	गोलाबारी
abhdrata	अभद्रता
vistarwaadi	विस्तारवादी
sukhane	सुखाने
mradul	मृदुल
polygraph	पॉलीग्राफ
nirbhayataa	निर्भयता
dwarkapith	द्वारकापीठ
maitreya	मैत्रेय
pilaataa	पिलाता
vachik	वाचिक
honduraas	होंडुरास
sahanashakti	सहनशक्ति
gymnasium	जिम्नेजियम
pratidan	प्रतिदान
niyampurvak	नियमपूर्वक
tatvisambhandhi	तत्संबंधी
mrig	मृग
jhoom	झूम
problem	प्रॉब्लम
bhainson	भैंसों
samhaal	सम्हाल
basne	बसने
kabhibhi	कभीभी
mafinaam	माफीनामा
nyaypurna	न्यायपूर्ण
chonkane	चौंकने
bolataa	बोलता
ghosanla	घोंसला
mannalal	मन्नालाल
vrittant	वृत्तांत
saitiyion	समितियों
tahaniyon	टहनियों
gaccha	गच्चा
seemavarti	सीमावर्ती
taalmel	तालमेल
tarksheel	तर्कशील
manavvaad	मानववाद
buckingham	बकिंघम
mahrajganj	महाराजगंज
taange	टांगें
ukhaadaney	उखाड़ने
sharlyn	शर्लिन
shaitij	क्षैतिज
responce	रिस्पांस
nachaata	नचाता
bagan	बागान
sarfroshi	सरफरोशी
jaarhe	जारहे
suproo	सप्रू
strike	स्ट्राइक
ecosystem	ईकोसिस्टम
saptnik	सपत्नीक
sarisrip	सरीसृप
dhanchon	ढांचों
forumon	फोरमों
horror	हॉरर
samantaayen	समानताएं
everturn	एवर्टन
tsang	त्सांग
ekant	एकांत
albukark	अल्बूकर्क
mukhautaa	मुखौटा
astitvwaad	अस्तित्ववाद
inqlaabi	इंकलाबी
avashyanbhavi	अवश्यंभावी
andolit	आंदोलित
prashnpratron	प्रश्नपत्रों
jalaal	जलाल
brijbhooshan	बृजभूषण
badhaayenge	बढ़ाएंगे
brahmakumari	ब्रह्माकुमारी
palsy	प्लेसी
vollyball	वॉलीबॉल
saamveda	सामवेद
stol	स्टोल
sarthi	सारथी
voigt	वोइट
kinnaur	किन्नौर
paalankartaa	पालनकर्ता
naitikta	नैतिकता
trilochan	त्रिलोचन
rajkumaron	राजकुमारों
pancholi	पंचोली
tarangon	तरंगों
khulega	खुलेगा
smithsonian	स्मिथसोनियन
lahaje	लहज़े
worde	वर्डे
raktakan	रक्तकण
suicide	सुइसाइड
markat	मारकाट
pokhron	पोखरों
pushyamitra	पुष्यमित्र
ykarupata	एकरूपता
thakeria	ठकेरिया
rakhwala	रखवाला
gadhon	गढ़ों
vishwaguruu	विश्वगुरु
sialkot	सियालकोट
shithilikaran	शिथिलीकरण
melatonin	मेलाटोनिन
proteinon	प्रोटीनों
saptakoshi	सप्तकोशी
jalkr	जलकर
jiahdi	जिहादी
chhidakta	छिड़कता
sajaayaa	सजाया
aapattiyon	आपत्तियों
nabadwip	नवद्वीप
marijon	मरीजों
hyustan	ह्यूस्टन
pakshon	पक्षों
nadirshah	नादिरशाह
platformon	प्लेटफार्मों
antrashtriya	अंतर्राष्ट्रीय
kabiile	कबीले
agla	अगला
hungal	हंगल
kishoroon	किशोरों
vritant	वृतांत
udyamita	उद्यमिता
jivanayapan	जीवनयापन
dweepon	द्वीपों
khinchvane	खिंचवाने
sukhapan	सूखापन
paalnaa	पालना
mhayan	महायान
tathyon	तथ्यों
ashamat	असहमत
ardhachandra	अर्धचंद्र
catalogue	कैटलॉग
barksa	बरक्स
pitaaputra	पितापुत्र
pomerenian	पोमेरेनियन
anantmul	अनंतमूल
madhvan	माधवन
lootate	लूटने
kalij	कालिज
bharn	भरन
vikrutiyan	विकृतियां
strivad	स्त्रीवाद
paramparanusar	परंपरानुसार
imrati	इमरती
kathorta	कठोरता
jalmaarg	जलमार्ग
bohemia	बोहेमिया
feekay	फीके
jangrhe	जांगड़े
siyachin	सियाचीन
deyata	देयता
vashpikaran	वाष्पीकरण
sardaron	सरदारों
assessment	असेसमेंट
shalin	शालीन
uber	उबेर
audhogik	औधोगिक
bakriyon	बकरियों
chhitput	छिटपुट
rajgrah	राजगृह
wampanth	वामपंथ
terahwen	तेरहवें
newport	न्यूपोर्ट
sarisripon	सरीसृपों
saragbhit	सारगर्भित
unne	उनने
reflective	रिफ्लेक्टिव
santaron	संतरों
chheepee	छिपी
khermai	खेरमाई
nikhatut	निखट्टू
ilahabadi	इलाहाबादी
adhivasi	अधिवासी
bajaron	बाजारों
isai	ईसाई
maayen	माएँ
sanhithaon	संहिताओं
transatlantik	ट्रांसअटलांटिक
shakahari	शाकाहारी
ginata	गिनता
chamakate	चमकते
abhilekhiya	अभिलेखीय
brijeshwari	ब्रजेश्वरी
atharvved	अथर्ववेद
faisalon	फ़ैसलों
racharyi	रचाई
chimanaji	चिमनाजी
gondwana	गोंडवाना
goley	गोले
paryevekshan	पर्यवेक्षण
variddhon	वृद्धों
janame	जन्मे
banaee	बनाई
jalaashay	जलाशय
sarvavyapi	सर्वव्यापी
nakkaashidaar	नक्काशीदार
koodaa	कूड़ा
bhalon	भालुओं
rashtrantaran	राष्ट्रांतरण
shikanja	शिकंजा
jamakar	जमकर
nauhjheel	नौहझील
vyomkesh	व्योमकेश
bhishati	भिश्ती
samantapn	समानताओं
karzdaron	कर्जदारों
glasgow	ग्लासगो
karwal	करवाल
reffer	रेफर
zoological	जूलॉजिकल
mudliyar	मुदलियार
samajhdaari	समझदारी
janmans	जनमानस
jayasurya	जयसूर्या
sensetive	सेंसेटिव
nyaayaadhikaran	न्यायाधिकरण
aansuon	आंसुओं
aabhilekhiy	अभिलेखीय
parishetr	परिक्षेत्र
intigration	इंटीग्रेशन
vilks	विल्क्स
gajetiyar	गजेटियर
loudspeakaron	लाउडस्पीकरों
filisteeniyon	फिलिस्तीनियों
invesive	इनवेसिव
gajal	गजल
bitter	बिटर
faizabad	फैजाबाद
chhodana	छोड़ना
pipeline	पाइपलाइन
randhir	रणधीर
lakshnon	लक्षणों
dhanvaan	धनवान
awasthaon	अवस्थाओं
jalprpat	जलप्रपात
cooked	कुक्ड
paridrshyon	परिदृश्यों
adhikarita	आधिकारिता
nivritti	निवृत्ति
punarjeevan	पुनर्जीवन
chahne	चाहने
lagaataa	लगाता
barbaadi	बर्बादी
payenge	पाएंगे
juneja	जुनेजो
bushra	बुशरा
tamanche	तमंचे
sadasyon	सदस्यों
gudvane	गुदवाने
typhoid	टाइफाइड
nakkashi	नक्काशी
parichalit	परिचालित
parsamani	पारसमणी
abhiyog	अभियोग
ubhyalingi	उभयलिंगी
ayeappa	अय्यप्पा
dadhich	दाधीच
dank	डंक
maddenajar	मद्देनजर
shehron	शहरों
jewel	ज्वेल
pavansut	पवनसुत
suthra	सुथरा
aithanein	ऐंठने
jisane	जिसने
bhooskhalan	भूस्खलन
sikudaney	सिकुड़ने
mith	मिथ
arthshastr	अर्थशास्त्र
malarna	मलारना
koshon	कोषों
pitaputra	पितापुत्र
swadhishthan	स्वाधिष्ठान
burfani	बर्फानी
uttaradhikariyon	उत्तराधिकारियों
vishmataon	विषमताओं
maliki	मालिकी
himpat	हिमपात
munchhein	मूंछें
histiriya	हिस्टीरिया
preparation	प्रिपरेशन
commissioning	कमीशनिंग
padmavat	पदमावत
pighalane	पिघलने
roing	रोइंग
kajim	काजिम
jimmedariyon	जिम्मेदारियों
refinary	रिफाइनरी
niroopa	निरूपा
rangbirange	रंगबिरंगे
golaardh	गोलार्ध
kooshmaandaa	कूष्मांडा
layinen	लाइनें
circles	सर्कल्स
zamindaaron	जमींदारों
kukhyat	कुख्यात
sthgan	स्थगन
cultivation	कल्टीवेशन
yudhkshetra	युद्धक्षेत्र
santoshjanak	संतोषजनक
charted	चार्टर्ड
bhagidar	भागीदार
gallbladder	गॉलब्लैडर
reshmiya	रेशमिया
apyarapt	अपर्याप्त
brihaspatiwar	बृहस्पतिवार
danavi	दानवी
aadhr	आधर
deewaren	दीवारें
radiotherapy	रेडियोथेरेपी
sasti	सस्ती
jinx	जिंक्स
hasyaprad	हास्यप्रद
yagyon	यज्ञों
borniyo	बोर्नियो
durbhagyashali	दुर्भाग्यशाली
kirdar	किरदार
anuvaadakon	अनुवादकों
willingdon	विलिंगडन
rudhiyon	रूढ़ियों
khaled	खालेद
nimnavargeeya	निम्नवर्गीय
saraparast	सरपरस्त
chav	चाव
lets	लेट्स
buna	भूना
nakhun	नाखून
beema	बीमा
prandand	प्राणदंड
dandaadhikaariyon	दंडाधिकारियों
aprakratik	अप्राकृतिक
adra	आर्द्र
uttejak	उत्तेजक
terhvi	तेरहवीं
prashaasit	प्रशासित
khujali	खुजली
rakhenge	रखेंगे
shriaravind	श्रीअरविंद
anusamarthan	अनुसमर्थन
lodh	लोध
aadhaarshila	आधारशिला
yatharthta	यथार्थता
prajapatiyon	प्रजापतियों
jazbaton	जज्बातों
riyal	रियाल
poojaneey	पूजनीय
bakhhshi	बख़्शी
chhatriyon	छतरियों
sangamaheshwar	संगमहेश्वर
jhoparha	झोपड़ा
khalistaan	खलिस्तान
haldwani	हल्द्वानी
chalwa	चलवा
sensitive	सेंसेटिव
stent	स्टेंट
haraya	हराया
geeto	गीतों
warberg	वारबर्ग
soochiyan	सूचियां
sanjhedaari	सांझेदारी
kukar	कुकर
kalabodh	कालबोध
trainer	ट्रेनर
vidhyaarthiyon	विद्यार्थियों
gadhval	गढ़वाल
sarvabhaum	सार्वभौम
shahzaadon	शहजादों
bimb	बिंब
no	नो
opaque	ओपेक
teerrthkar	तीर्थंकर
motors	मोटर्स
shadishuda	शादीशुदा
nikalvaya	निकलवाया
tso	त्सो
bahulansh	बहुलांश
jaanchne	जांचने
suspension	सस्पेंशन
bhookamprodhi	भूकंपरोधी
tatvaavadhan	तत्वावधान
nishechan	निषेचन
opec	ओपेक
jataayen	जटाएं
anekon	अनेकों
shiwalay	शिवालय
gendbaji	गेंदबाजी
danvi	दानवी
pradhaanaachaarya	प्रधानाचार्य
gujaral	गुजराल
punarvaas	पुनर्वास
bhatije	भतीजे
maushmi	मौशमी
aagyakarita	आज्ञाकारिता
iltutmish	इल्तुतमिश
banbe	बांबे
albeniya	अल्बेनिया
domenica	डोमेनिका
kholegi	खोलेगी
soojan	सूजन
bitne	बीतने
rukney	रुकने
pitrulok	पितृलोक
janbhagidari	जनभागीदारी
phanishwar	फणीश्वर
sapnon	सपनों
nigaahon	निगाहों
uljhana	उलझना
bahuuudesheeye	बहुउद्देशीय
rhati	रहती
pradrshak	प्रदर्शक
dharmopadesh	धर्मोपदेश
prtidavandi	प्रतिद्वंदी
dilvaya	दिलवाया
idia	इडिया
neurosurgeon	न्यूरोसर्जन
thems	थीम्स
lanbavat	लंबवत
chukani	चुकानी
chunchun	चुनचुन
aalochanaayein	आलोचनाएं
shilpgram	शिल्पग्राम
laparwah	लापरवाह
bagiya	बगिया
doughnuts	डोनट्स
lutane	लूटने
sanchaalika	संचालिका
bahulatawadi	बहुलतावादी
medha	मेधा
afwah	अफवाह
purvashadh	पूर्वाषाढ़
audition	ऑडिशन
fourtifive	फोर्टीफाइड
tarkpurana	तर्कपूर्ण
pyare	प्यारे
khadeid	खदेड़
sanvarg	संवर्ग
msc	एमएससी
mragtrashana	मृगतृष्णा
owner	ऑनर
kutnitigya	कूटनीतिज्ञ
rishteydaari	रिश्तेदारी
mercel	मर्केल
manchooriya	मंचूरिया
khanste	खांसते
prodyogiki	प्रोद्यौगिकी
izaafaa	इज़ाफ़ा
silvaten	सिलवटें
shiksharthi	शिक्षार्थी
nevada	नेवाडा
swayambhuva	स्वायंभुव
sarvocchata	सर्वोच्चता
sangoshthi	संगोष्ठी
cubai	क्यूबाई
steering	स्टीयरिंग
puratatv	पुरातत्व
bansuri	बांसुरी
pahadiyaa	पहाड़िया
tamim	तमीम
nordik	नॉर्डिक
jagmagahat	जगमगाहट
satrahavin	सत्रहवीं
kaushar	कौशर
prtidavandita	प्रतिद्वंदिता
enthhan	ऐंठन
durasth	दूरस्थ
electrode	इलेक्ट्रोड
tatpashchat	तत्पश्चात
cbn	सीबीएन
nyopaane	न्यौपाने
generator	जनरेटर
amethi	अमेठी
pitrarrina	पितृऋण
bichhi	बिछी
toly	टोली
harihar	हरिहर
vimanvahak	विमानवाहक
solen	सोलन
joojhti	जूझती
mandaliyon	मंडलियों
dhakelta	धकेलता
havaon	हवाओं
poison	पॉयजन
ajnala	अजनाला
pautri	पौत्री
prayaaya	प्रयाय
sutradharon	सूत्रधारों
manavatavadi	मानवतावादी
vishvasapatra	विश्वासपात्र
shwasnali	श्वासनली
madhyakal	मध्यकाल
sholay	शोले
chaunkta	चौंकता
ammol	अमोल
basein	बसें
leftinant	लेफ्टिनेंट
tilon	टाइलों
govindapur	गोविंदपुर
shaadi	शादी
antdrishti	अंतर्दृष्टि
navdurgayon	नवदुर्गाओं
crosingo	क्रॉसिंगों
andhruni	अंदरूनी
huron	हूरों
rabad	रबड़
aarakshit	आरक्षित
sthti	स्थति
baptist	बैपटिस्ट
arsenide	आर्सेनाइड
upanyason	उपन्यासों
takaao	टकाओ
purusharthon	पुरुषार्थों
babarnama	बाबरनामा
kalsekar	कलसेकर
aatmraksha	आत्मरक्षा
balakon	बालकों
upmahaadvip	उपमहाद्वीप
antrgrahiy	अंतरग्रहीय
phulane	फूलने
sevanvrit	सेवानिवृत
kancrit	कंक्रीट
letanaa	लेटना
daliy	दलीय
uccchisht	उच्छिष्ट
chahie	चहिए
vhp	वीएचपी
vijender	विजेंद्र
munhasi	मुंहासे
upjau	उपजाऊ
navdvip	नवद्वीप
abhivyaktiyan	अभिव्यक्तियाँ
plazma	प्लाज्मा
farnandiz	फर्नांडीज
habibulla	हबीबुल्ला
valo	वालो
abn	एबीएन
stick	स्टीक
nakhunon	नाखूनों
nowshera	नौशेरा
pritoriya	प्रिटोरिया
anvala	आंवला
nirdeshkiya	निर्देशकीय
dikhaa	दिखा
dhananjai	धनंजय
jativaadi	जातिवादी
antifungal	एंटीफंगल
vayada	वायदा
nyaupane	न्यौपाने
panelon	पैनलों
thandak	ठंडक
udyamiyon	उद्यमियों
sirajuddaula	सिराजुद्दौला
harpers	हार्पर्स
sankraamak	संक्रामक
dushprabhav	दुष्प्रभाव
nyayalayon	न्यायलयों
moili	मोइली
samkaalik	समकालिक
parisangh	परिसंघ
puranmaasi	पूर्णमासी
sukhbir	सुखबीर
acidic	एसिटिक
milenge	मिलेंगे
nirankar	निरंकार
horizontal	हॉरिजॉन्टल
ghumtha	घूमता
abhedhya	अभेद्य
swashasan	स्वशासन
fursat	फुरसत
aundhaa	औंधा
aansuo	आंसूओं
heather	हीदर
kusumagraj	कुसुमाग्रज
yamlok	यमलोक
vakyon	वाक्यों
sahakarmi	सहकर्मी
practise	प्रैक्टिस
bahuein	बहुएं
vahika	वाहिका
golwalkar	गोलवलकर
oxikaran	ऑक्सीकरण
daakhila	दाखिला
nishpakshataa	निष्पक्षता
ganwaa	गंवा
kerakettaa	केरकेट्टा
samjhega	समझेगा
pendant	पेंडेंट
ropave	रोपवे
uthalputhal	उथलपुथल
aawaason	आवासों
byahi	ब्याही
bichauliyon	बिचौलियों
cosmatic	कॉस्मेटिक
paataa	पाता
dabte	दबते
visheshtaayein	विशेषताएं
mukhabiron	मुखबिरों
mangva	मंगवा
vishwakalyan	विश्वकल्याण
padmesh	पद्मेश
uthaven	उठावें
shmtavale	क्षमतावाले
ganwaana	गंवाना
luptpray	लुप्तप्राय
kannaud	कन्नौद
ikshwaku	इक्ष्वाकु
kamlon	कमलों
mulkaraj	मुल्कराज
pakaya	पकाया
mangate	मंगाते
shadiyan	शादियां
garbhvati	गर्भवती
naitiktaon	नैतिकताओं
mukhyataya	मुख्यतया
els	एल्स
mughlon	मुगलों
upcharit	उपचारित
janbujhkr	जानबूझकर
yakoob	याकूब
amol	अमोल
jarooratmand	जरूरतमंद
shatakiy	शतकीय
sangharshon	संघर्षों
uncha	ऊंचा
kapatpurn	कपटपूर्ण
hatao	हटाओ
teekakarad	टीकाकरण
barkatullah	बरकतउल्लाह
taakatvar	ताकतवर
lendar	लेनदार
suvidhayen	सुविधाएं
pratidvandi	प्रतिद्वंदी
savitribai	सावित्रीबाई
raal	राल
linguistics	लिंग्विस्टिक्स
repersentive	रिप्रेजेंटेटिव
lobo	लोबो
ekatha	इक्ट्ठा
vigyaapanon	विज्ञापनों
nasleey	नस्लीय
pardon	परदों
debu	डेब्यू
apang	अपंग
aathvan	आठवां
edums	ऐडम्स
emotional	इमोशनल
naiscom	नैसकॉम
laundering	लॉन्ड्रिंग
jaten	जतिन
aamare	आमरे
vrundavan	वृंदावन
prastarpratima	प्रस्तरप्रतिमा
secular	सेकुलर
uttranchal	उत्तरांचल
vishveshvaraiya	विश्वेश्वरैया
alhar	अल्हड़
sushuptavastha	सुषुप्तावस्था
anushangik	आनुषंगिक
parikshaafal	परीक्षाफल
ladle	लाड़ले
lagam	लगाम
saney	सने
tolerance	टॉलरेंस
lesan	लेसन
lychee	लीची
shrrnkhalaon	श्रृंखलाओं
chemicals	केमिकल्स
urugve	उरुग्वे
krishanmurti	कृष्णमूर्ति
aitbar	एतबार
hayat	हयात
mugalsaray	मुगलसराय
judta	जुड़ता
exchanger	एक्सेंचर
anicha	अनिच्छा
niwaasiyon	निवासियों
mante	मानते
kulhad	कुल्हड़
participant	पार्टिसिपेंट
qaidiyon	कैदियों
chhedi	छेदी
lahuluhan	लहुलुहान
vapor	वेपर
kudate	कूदते
generator	जेनरेटर
yagyadi	यज्ञादि
naapasand	नापसंद
germs	जर्म्स
kaling	कालिंग
lainon	लाइनों
dakshinaavarti	दक्षिणावर्ती
shradhaluon	श्रधालुओं
dharaan	धरान
shahabuddin	शहाबुद्दीन
dawaon	दवाओं
isaiyata	ईसाईयत
haas	हृास
helicopteron	हेलीकॉप्टरों
asuvidhaon	असुविधाओं
hastaksharkartaon	हस्ताक्षरकर्ताओं
sharavati	शरावती
gaayon	गायों
bosnian	बोस्नियन
pitrurun	पितृऋण
jalaane	जलाने
jagate	जगाते
janjatiyon	जनजातियों
aachchadit	आच्छादित
vishayvastu	विषयवस्तु
kunven	कुएं
gange	गंगे
chaumukh	चौमुख
khameir	खमेर
taimoor	तैमूर
shunbhu	शुंभ
mehrauli	महरौली
morse	मॉर्स
vikritiyan	विकृतियां
sarangarh	सारंगढ़
ghutna	घुटना
akaatya	अकाट्य
murchho	मूर्छा
cyst	सिस्ट
ugaaya	उगाया
achuta	अछूता
botany	बॉटनी
beesavain	बीसवें
khetihar	खेतिहर
teamo	टीमों
planton	प्लांटों
takhtiya	तख्तियां
ranbhoomi	रणभूमि
swacchand	स्वछंद
laurance	लारेंस
ahiravan	अहिरावण
rojo	रोजो
studios	स्टूडियोज़
jalasaji	जालसाजी
lateral	लैटरल
material	मांट्रियल
swachhta	स्वच्छता
meghnath	मेघनाथ
thaana	ठाना
apanjikrut	अपंजीकृत
babbli	बबली
funsian	फुंसियां
haddi	हड्डी
chalkar	चलकर
parindaa	परिंदा
avashyaktanusaar	आवश्यकतानुसार
pachadon	पचड़ों
badlaavon	बदलावों
bawriya	बावरिया
edrenalin	एड्रीनलीन
lloyd	लॉयड
dubaki	डुबकी
pavay	पावय
superna	सुपर्णा
barfiley	बर्फीले
alfrad	अल्फ्रेड
puratatavik	पुरातात्विक
naukriyan	नौकरियां
bhagayan	भगाएं
demat	डिमैट
paripeksha	परिपेक्ष
oonchaiyon	ऊंचाइयों
gathili	गठीली
nirmanon	निर्माणों
aitbaar	एतबार
antyeshti	अंत्येष्टि
vishvansak	विध्वंसक
kamaane	कमाने
agantuk	आगंतुक
vitrakon	वितरकों
udyam	उद्यम
helicoptron	हेलीकॉप्टरों
baseline	बेसलाइन
thekua	ठेकुआ
dararon	दरारों
jagannathpuri	जगन्नाथपुरी
jeevatta	जीवटता
byar	बयार
snnatakon	स्नातकों
puratatvik	पुरातात्त्विक
lipid	लिपिड
chhedaa	छेड़ा
bakiyon	बाकियों
jimmewaar	जिम्मेवार
antarrashtriy	अतंरराष्ट्रीय
failte	फैलते
chaumase	चौमासे
panar	पनार
maagen	मागें
spinaron	स्पिनरों
jaanewale	जानेवाले
karypalika	कार्यपालिक
sehatmand	सेहतमंद
pitron	पितरों
padhaare	पधारे
shaktimaan	शक्तिमान
golma	गोलमा
aakraant	आक्रांत
hajariprasad	हजारीप्रसाद
andhikrit	अनधिकृत
vaynad	वायनाड
